figure,panel,role,profile_type,bw_mm,energy_mev,ctc_mm,required_path,status,notes
Figure 2,,3 x bw,peak_normalization,0.5,50,1.5,data/processed_data/PBP_dataset/FWHM5/50MeV/zpeak_1Darray_ctc15_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,0.5,50,1.5,data/processed_data/PBP_dataset/FWHM5/50MeV/zvalley_1Darray_ctc15_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,0.5,50,2.5,data/processed_data/PBP_dataset/FWHM5/50MeV/zpeak_1Darray_ctc25_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,0.5,50,2.5,data/processed_data/PBP_dataset/FWHM5/50MeV/zvalley_1Darray_ctc25_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,0.5,125,1.5,data/processed_data/PBP_dataset/FWHM5/125MeV/zpeak_1Darray_ctc15_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,0.5,125,1.5,data/processed_data/PBP_dataset/FWHM5/125MeV/zvalley_1Darray_ctc15_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,0.5,125,2.5,data/processed_data/PBP_dataset/FWHM5/125MeV/zpeak_1Darray_ctc25_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,0.5,125,2.5,data/processed_data/PBP_dataset/FWHM5/125MeV/zvalley_1Darray_ctc25_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,0.5,175,1.5,data/processed_data/PBP_dataset/FWHM5/175MeV/zpeak_1Darray_ctc15_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,0.5,175,1.5,data/processed_data/PBP_dataset/FWHM5/175MeV/zvalley_1Darray_ctc15_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,0.5,175,2.5,data/processed_data/PBP_dataset/FWHM5/175MeV/zpeak_1Darray_ctc25_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,0.5,175,2.5,data/processed_data/PBP_dataset/FWHM5/175MeV/zvalley_1Darray_ctc25_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,0.5,230,1.5,data/processed_data/PBP_dataset/FWHM5/230MeV/zpeak_1Darray_ctc15_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,0.5,230,1.5,data/processed_data/PBP_dataset/FWHM5/230MeV/zvalley_1Darray_ctc15_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
